Instance,Time_Best_ms
i160-031.stp,32.352
i080-035.stp,34.49
i080-013.stp,44.874
i080-031.stp,32.478
i080-014.stp,41.989
i080-022.stp,57.98
i080-111.stp,53.554
i080-045.stp,51.612
i080-114.stp,44.405
b01.stp,67.013
i080-021.stp,57.162
i080-145.stp,63.551
i080-113.stp,53.425
i080-121.stp,89.89
i080-044.stp,57.843
i080-112.stp,54.7
i080-134.stp,52.523
i080-102.stp,84.62
i080-142.stp,63.465
i080-143.stp,66.686
i160-005.stp,45.157
i080-125.stp,92.625
i080-123.stp,91.813
i080-122.stp,91.546
i080-104.stp,54.213
i160-043.stp,66.019
i160-033.stp,42.156
i080-115.stp,67.287
i160-013.stp,73.324
i160-004.stp,35.061
i080-124.stp,92.52
i080-144.stp,80.875
i160-011.stp,68.979
i080-133.stp,92.776
b05.stp,82.204
i160-032.stp,107.734
i080-001.stp,28.518
i160-014.stp,71.222
i080-141.stp,90.871
i160-015.stp,89.152
b04.stp,68.362
i320-003.stp,60.12
i160-001.stp,127.691
i080-101.stp,85.573
i320-033.stp,84.789
i160-034.stp,96.905
i080-135.stp,89.742
i160-002.stp,102.117
i320-004.stp,64.749
i080-103.stp,130.539
i160-012.stp,100.777
b07.stp,175.838
i080-002.stp,73.001
i320-032.stp,73.891
i160-003.stp,170.375
i080-213.stp,154.621
es20fst09.stp,213.927
i320-011.stp,114.982
p603.stp,76.063
i160-022.stp,176.988
i320-005.stp,71.49
es20fst03.stp,186.835
i160-115.stp,159.842
i320-035.stp,98.206
i160-024.stp,178.796
i160-025.stp,176.809
i160-021.stp,178.584
es20fst13.stp,277.383
es20fst02.stp,209.215
p621.stp,72.736
i080-202.stp,189.942
i320-012.stp,124.929
p604.stp,106.061
i640-033.stp,120.485
i640-032.stp,109.404
i160-041.stp,150.472
i320-014.stp,140.305
i640-004.stp,141.013
i160-044.stp,151.034
p613.stp,77.725
i160-023.stp,179.452
i080-231.stp,177.72
i160-143.stp,161.761
i320-013.stp,148.367
i320-015.stp,154.317
i160-135.stp,164.628
i080-214.stp,239.544
i080-232.stp,199.908
i320-034.stp,193.153
c11.stp,89.376
b02.stp,189.778
i080-033.stp,35.227
i320-031.stp,165.31
i080-212.stp,250.015
i080-215.stp,223.995
i080-245.stp,219.923
i160-045.stp,190.205
c06.stp,167.387
b10.stp,282.895
i080-241.stp,229.644
es20fst12.stp,409.405
i160-111.stp,185.675
i160-103.stp,222.411
i640-031.stp,240.37
i080-211.stp,236.554
i080-243.stp,251.313
i160-042.stp,240.583
i080-242.stp,252.32
i320-001.stp,297.29
i320-043.stp,188.851
i080-315.stp,286.577
i080-225.stp,321.462
i080-234.stp,275.942
es20fst11.stp,284.003
i640-002.stp,203.398
i320-002.stp,165.306
i160-113.stp,263.996
i080-221.stp,319.777
es20fst15.stp,377.924
p619.stp,85.061
i080-223.stp,321.397
i080-224.stp,319.957
i080-201.stp,272.616
i160-112.stp,268.195
i080-222.stp,321.504
i080-205.stp,348.807
i080-244.stp,265.724
i080-203.stp,265.841
i080-342.stp,299.906
i640-003.stp,170.772
i160-141.stp,273.139
es20fst14.stp,647.865
b08.stp,331.801
i160-102.stp,357.166
i080-204.stp,311.253
b11.stp,348.257
i080-341.stp,326.977
b03.stp,405.419
i080-331.stp,270.213
p602.stp,52.858
i160-134.stp,195.813
i080-233.stp,234.405
i160-105.stp,232.923
i640-034.stp,179.086
i080-314.stp,342.994
i080-345.stp,357.61
i160-124.stp,359.975
i160-122.stp,362.418
i160-123.stp,360.903
i080-335.stp,288.553
i160-121.stp,359.85
i320-133.stp,346.488
i160-132.stp,197.71
i160-145.stp,319.421
i640-013.stp,273.657
i160-142.stp,335.435
i320-044.stp,252.284
i320-022.stp,372.623
i640-011.stp,275.957
i320-023.stp,375.903
p622.stp,223.415
i160-131.stp,210.106
i160-101.stp,224.379
i160-125.stp,364.035
b13.stp,352.0
i160-144.stp,335.594
d01.stp,117.113
i080-303.stp,541.659
i160-035.stp,226.969
i640-014.stp,314.76
i080-325.stp,488.888
i640-035.stp,203.859
i080-321.stp,491.977
i080-322.stp,492.15
i080-324.stp,488.896
i080-323.stp,489.11
b14.stp,419.493
i080-311.stp,377.925
i160-104.stp,124.753
c07.stp,232.207
i320-021.stp,371.219
i320-041.stp,374.885
es20fst07.stp,522.453
i080-343.stp,441.179
i320-024.stp,374.465
i320-131.stp,329.402
es30fst12.stp,576.07
i080-344.stp,444.509
i160-234.stp,459.511
i320-025.stp,369.336
c02.stp,274.864
i160-133.stp,303.563
i080-305.stp,553.904
i080-313.stp,330.98
i080-302.stp,339.803
i080-333.stp,256.444
i640-001.stp,279.221
i320-042.stp,352.724
i080-235.stp,490.362
i160-114.stp,181.089
d06.stp,185.537
i320-113.stp,467.165
p623.stp,233.134
es30fst09.stp,916.225
i320-114.stp,499.337
i160-231.stp,518.797
i080-332.stp,517.677
d11.stp,285.972
e01.stp,520.174
d12.stp,246.724
es30fst14.stp,772.344
i320-045.stp,456.403
i320-103.stp,481.443
es20fst05.stp,769.311
es30fst10.stp,857.625
e06.stp,261.694
i640-015.stp,272.983
i640-012.stp,338.226
i320-115.stp,554.542
es20fst08.stp,727.651
i080-312.stp,476.062
d16.stp,221.929
i320-111.stp,625.499
es20fst10.stp,836.649
i320-102.stp,521.988
i160-215.stp,658.991
i320-112.stp,482.322
es30fst07.stp,1328.368
b16.stp,544.554
b06.stp,744.003
i160-214.stp,620.62
i080-301.stp,582.117
i160-211.stp,685.007
i320-132.stp,335.713
i160-213.stp,736.747
i160-212.stp,782.964
c12.stp,351.738
d07.stp,335.513
es20fst04.stp,866.336
b17.stp,1113.28
p607.stp,572.081
c17.stp,619.203
c16.stp,310.892
i080-304.stp,606.98
i160-235.stp,673.395
d02.stp,772.669
i640-005.stp,303.792
i160-244.stp,920.928
b09.stp,1160.273
p606.stp,310.045
p605.stp,321.285
es40fst04.stp,1017.288
e11.stp,467.696
i080-334.stp,820.492
e02.stp,850.799
es30fst05.stp,1772.573
i320-134.stp,490.351
i160-204.stp,943.344
e07.stp,522.171
i160-241.stp,1055.032
i320-105.stp,642.965
i160-243.stp,1187.205
i320-101.stp,688.677
i160-221.stp,1331.838
i160-223.stp,1346.722
i160-222.stp,1330.753
es30fst13.stp,1518.262
i160-242.stp,1188.633
i160-225.stp,1321.807
i320-104.stp,635.32
es40fst07.stp,2202.515
i160-224.stp,1333.681
i160-245.stp,1256.316
es30fst02.stp,1778.28
i160-205.stp,952.154
i160-202.stp,967.987
i640-111.stp,1311.74
i320-144.stp,1328.81
es30fst11.stp,2428.743
i640-021.stp,1140.957
i640-044.stp,1111.009
i640-041.stp,1183.56
p625.stp,1220.36
e16.stp,617.683
i160-232.stp,1135.515
es40fst13.stp,1777.412
p624.stp,908.629
i160-314.stp,1567.523
i640-045.stp,1105.197
d17.stp,953.252
i320-141.stp,1246.214
i320-122.stp,1514.72
i160-201.stp,1369.424
i320-213.stp,1597.232
p405.stp,983.969
p626.stp,1092.553
i320-124.stp,1517.564
es40fst06.stp,3142.572
i320-135.stp,681.452
i160-233.stp,1073.319
p608.stp,768.78
es30fst01.stp,2196.791
i320-145.stp,1591.911
i640-043.stp,1274.268
i640-133.stp,1155.264
i640-025.stp,1142.1
i320-211.stp,1658.921
i320-123.stp,1520.83
i160-203.stp,1363.68
i320-121.stp,1518.395
i320-125.stp,1515.356
i640-023.stp,1145.129
i640-042.stp,1370.931
i640-115.stp,1705.231
es30fst08.stp,1839.643
es40fst12.stp,2177.994
p630.stp,539.089
i640-112.stp,1833.478
i320-142.stp,1797.82
i320-143.stp,1719.932
i160-313.stp,1613.844
i320-212.stp,1670.091
b12.stp,1676.0
es40fst01.stp,2618.164
i640-113.stp,1616.336
i160-315.stp,1858.944
i640-114.stp,1382.202
b15.stp,2407.874
i640-024.stp,1151.52
i640-022.stp,1147.435
p609.stp,1352.971
i160-311.stp,2034.778
es40fst03.stp,3037.705
lin08.stp,515.779
e12.stp,1041.272
es30fst06.stp,2587.23
mc3.stp,2908.063
es30fst03.stp,2296.431
i640-132.stp,1101.156
lin09.stp,931.972
i320-215.stp,2369.652
es50fst08.stp,3469.674
i320-214.stp,2047.78
es30fst04.stp,3602.86
es40fst02.stp,3461.513
i160-345.stp,2836.775
es40fst15.stp,3800.491
ER-016.stp,3074.899
i160-312.stp,2335.994
i640-134.stp,2311.649
i160-332.stp,2740.43
ER-011.stp,1580.79
i160-344.stp,3024.014
i160-341.stp,3137.095
es50fst13.stp,5822.264
i160-303.stp,2840.178
ER-015.stp,2239.324
ER-014.stp,2146.772
i160-343.stp,3152.037
es40fst14.stp,5553.941
es40fst10.stp,5265.421
e17.stp,1850.962
i160-335.stp,2218.138
i640-105.stp,1407.908
i640-135.stp,1681.442
i160-325.stp,3665.384
i160-322.stp,3683.268
i160-321.stp,3677.361
i160-323.stp,3693.314
i160-324.stp,3686.807
ER-018.stp,2234.582
es40fst08.stp,4795.697
i160-333.stp,2404.662
es40fst11.stp,4508.358
ER-017.stp,2847.034
es50fst11.stp,6050.973
i160-342.stp,3732.861
i320-204.stp,3055.02
i320-235.stp,2750.967
